sentence_number,word,surprisal_score,target_phrase
1, wo,13.25847339630127,no
1, n,5.6467180252075195,no
1,'t,2.3318960666656494,no
1, try,6.992387771606445,no
1, and,3.8138256072998047,no
1, find,5.240494728088379,no
1, her,4.679732322692871,no
1,",",2.029236078262329,no
1, will,6.033900260925293,no
1, you,0.6506201028823853,no
1,",",2.3255600929260254,no
1, Mr,3.8988194465637207,no
1, Newman,10.586660385131836,no
1,?,1.240975260734558,no
1, ’,10.750110626220703,no
1,’,9.328103065490723,no
1, ‘,3.918206214904785,no
1,‘,5.749019145965576,no
1, You,3.8466055393218994,no
1, have,3.8269646167755127,yes
1, my,4.093786239624023,yes
1, word,1.13469660282135,yes
1,.,1.6634889841079712,no
1, Under,8.750189781188965,no
1, no,1.4089990854263306,no
1, circumstances,0.15161502361297607,no
1,.,3.9944510459899902,no
2,!,7.366644859313965,no
2, Col,12.92910385131836,no
2,-,5.226234436035156,no
2,G,5.778959274291992,no
2,ORD,9.573344230651855,no
2,ON,0.5990616083145142,no
2,:,1.904283046722412,no
2, He,5.165119171142578,no
2, said,4.3552374839782715,no
2, we,4.339970111846924,no
2, have,3.512178421020508,no
2, to,0.9728495478630066,no
2, invest,9.047155380249023,no
2, our,4.248551845550537,no
2, money,1.5134286880493164,no
2, in,1.227339506149292,no
2, intelligence,9.457355499267578,no
2, and,2.4333481788635254,no
2, in,2.526897668838501,no
2, the,2.112628936767578,no
2, air,5.2358317375183105,no
2, force,0.7094206809997559,no
2,",",1.814955234527588,no
2, but,2.9876456260681152,no
2, his,5.737015247344971,no
2, officials,8.090620040893555,no
2, did,4.290533065795898,no
2, n,8.365354537963867,no
2,'t,0.7536228895187378,no
2, do,4.323606014251709,no
2, that,1.4671170711517334,no
2,",",1.9918426275253296,no
2, as,4.730029106140137,no
2, usual,3.813861131668091,no
2, in,5.533748626708984,no
2, bureaucracy,9.789230346679688,no
2, And,8.259915351867676,no
2, in,4.005092620849609,no
2, the,1.312471866607666,no
2, Middle,6.022101402282715,no
2, East,0.0402061901986599,no
2,",",1.0747438669204712,no
2, bureaucracy,9.80567741394043,no
2, has,3.2477033138275146,no
2, the,4.328217506408691,no
2, last,2.0154294967651367,no
2, word,0.31340211629867554,no
2, Some,8.725447654724121,no
2, experts,5.2353363037109375,no
2, suggest,4.849803924560547,no
2, Israeli,7.499656677246094,no
2, military,3.7043044567108154,no
2, spending,4.109498977661133,no
2, could,2.0822291374206543,no
2, fall,4.042568206787109,no
2, from,3.280430316925049,no
2, a,3.931067943572998,no
2, current,2.4463772773742676,no
2, and,8.27251148223877,no
2, staggering,4.355438232421875,no
2, 30,5.689030170440674,no
2, percent,1.0141894817352295,no
2, of,0.4661739468574524,no
2, still,14.466774940490723,no
2, a,5.06049919128418,no
2, huge,4.75580358505249,no
2, portion,6.281641006469727,no
2, by,7.827783584594727,no
2, international,4.807720184326172,no
2, standards,0.16726070642471313,no
3, is,1.3695217370986938,no
3, about,5.178727149963379,no
